ym,n,disp,long,short,cash,spy,capin,ratio,vix,real_n
2007-01,83,0.010013410318092802,0.011418019184856323,-0.0014046088667635196,0.004296672089787341,0.015040638063138267,1.7903522334321877,1.6159696042382146,11.56,0
2007-02,83,0.0008227266071617109,-0.009163816469065084,0.009986543076226794,0.00430828268569637,-0.019618088447923343,1.7121820753679888,1.7144892504833622,10.42,0
2007-03,83,0.006310538788388875,0.0011508359680628315,0.005159702820326044,0.004307622590624498,0.011588972879728487,1.7272412785285667,1.1687487894541997,15.42,0
2007-04,83,0.00209282522241825,0.024827948072236844,-0.022735122849818594,0.0043005645655504595,0.044296530158762115,1.7013813588466173,1.212587627795163,14.64,0
2007-05,83,0.0023252801020194405,0.01684945742723081,-0.014524177325211371,0.0042994997167019955,0.033918850481308827,1.7257207610972416,1.2662616872116548,14.219999999999999,0
2007-06,83,0.00500119764858659,-0.007505941232868274,0.012507138881454863,0.004302078521165631,-0.01462022340073843,1.666776659071291,1.3326602309843443,13.05,0
2007-07,84,0.009024346946131061,-0.00671791643370095,0.015742263379832012,0.004305615807984013,-0.03131015777461721,1.7730233919997216,1.1262823834285522,16.23,0
2007-08,84,0.020239818278075347,0.008206241695410232,0.012033576582665116,0.004111163905683661,0.012832870254745332,1.7251656011873742,0.7562141826425938,23.52,0
2007-09,84,0.018791987772788087,0.02863433427548662,-0.009842346502698532,0.0040473539219251465,0.0387139777571861,1.683710398579441,0.7424620034348745,23.38,0
2007-10,84,0.032875875562897124,0.02681289196364153,0.006062983599255595,0.0038992075765578358,0.013566772072665101,1.7006493304747117,0.9740777269312817,18.0,0
2007-11,84,0.010313572495988124,-0.007659572323992602,0.017973144819980726,0.0036749415983715855,-0.038731930466605724,1.7832980390667676,0.992201452182301,18.53,0
2007-12,84,0.020164403421591304,-0.0020183176811048205,0.022182721102696125,0.003467310868208621,-0.011260476688119692,1.8685603337182697,0.8423494687904459,22.87,0
2008-01,84,0.014649548535252882,-0.007174291640114971,0.021823840175367853,0.0032210661352141275,-0.060461959791497155,1.896462886879355,0.8689867922602622,22.5,0
2008-02,84,0.024028846348350986,-0.0013838031002995793,0.025412649448650567,0.0024316928785644725,-0.025842575753694863,2.079481400088355,0.8182859501879985,26.200000000000003,0
2008-03,84,0.03103159412256122,0.005289162200149543,0.025742431922411678,0.002127810736100284,-0.00894192481715439,2.1696213287225654,0.8428190993228057,26.539999999999996,0
2008-04,84,0.01582584905160992,0.031021636015631602,-0.015195786964021683,0.0018575275751236643,0.04766210336410892,2.235390782965031,0.899902012529194,25.61,0
2008-05,84,0.013271657740971835,0.00580412758305474,0.007467530157917096,0.0016122916356049052,0.01511630733824143,2.2853554178845257,1.1333149227904904,20.79,0
2008-06,84,-0.002624547195508361,-0.019918728098922082,0.01729418090341372,0.001628557978213117,-0.08357556616623507,2.286521307212988,1.3221333348962763,17.83,0
2008-07,84,0.04268370975489823,0.01945344432378445,0.02323026543111378,0.001633583133683017,-0.008985377528498484,2.472648735342239,1.0644083007465177,23.95,0
2008-08,84,0.011328961924320518,0.0020595811557504702,0.009269380768570047,0.0016229608594995647,0.015453853244979499,2.622348430026124,1.1785508562590103,22.94,0
2008-09,84,0.008161919240476921,-0.011867516298249574,0.020029435538726496,0.0014684343755203286,-0.09417395049091415,2.645234772132925,1.3206736490493798,20.65,0
2008-10,84,0.010736064325796092,-0.027470205207881234,0.038206269533677326,0.0007860007228464974,-0.16518725833443826,2.7627971736291808,0.7231266510314187,39.39,0
2008-11,84,0.04112213010053398,-0.01696808270403406,0.05809021280456803,0.0003149381759940033,-0.0696065511374776,3.0959458479990003,0.5329548126144142,59.89,0
2008-12,84,0.05645464991210473,0.010521879786678673,0.045932770125426056,0.00012901778474783617,0.009796608866161627,3.2366614391228654,0.5975898463573436,55.84,0
2009-01,84,0.01993817072316623,-0.018859767366376626,0.038797938089542856,0.00012082373539462384,-0.08211454549608199,3.341011684300929,0.8611312479003687,40.0,0
2009-02,84,0.015083619527281787,-0.028408869071095744,0.04349248859837753,0.0001770471248881975,-0.1074485754439759,3.4288409700740963,0.7883754369029156,44.84,0
2009-03,84,0.039657335273010325,0.06468174599627992,-0.025024410723269594,0.00014467592416056392,0.08331133510062783,3.549383892957378,0.7895044483187948,46.35,0
2009-04,84,0.04882205808471243,0.08945832293059627,-0.04063626484588384,0.00012022571982620893,0.0993449875329695,3.819424139032854,0.8921069142096465,44.14,0
2009-05,86,0.0004550543144261846,0.01447900468006567,-0.014023950365639486,0.00014357024280513216,0.05845348868065603,4.286504796578562,1.1826129491178345,36.5,0
2009-06,86,0.009672088431804816,-0.019046699598333227,0.028718788030138043,0.00016736204087341647,-0.0006547938579155588,4.364548072333441,1.5197535730801734,28.92,0
2009-07,86,-0.004204948333243461,0.03378901862789694,-0.0379939669611404,0.00012759790276519175,0.07460539053645654,4.301572926106187,1.6439130798461319,26.35,0
2009-08,86,-0.008170400614283773,-0.002141930267072169,-0.006028470347211603,0.00012756750800925349,0.03693968719573393,4.324368993059893,1.6800411836633289,25.920000000000005,0
2009-09,86,-0.008408944723405747,-0.003743916258264473,-0.0046650284651412735,0.00011957756796990301,0.035458212706896974,4.3379456240775855,1.679484237138994,26.009999999999998,0
2009-10,86,0.0013725069837234177,-0.024059310493864245,0.025431817477587663,9.578914012437344e-05,-0.01922594837950542,4.21085987562655,1.6557447690624003,25.61,0
2009-11,86,0.005021539198239524,0.02752711674225221,-0.022505577544012684,9.61990476389049e-05,0.061607035736827465,3.800952361095101,1.2471759240123668,30.69,0
2009-12,86,0.0008764130152204789,-0.007035723494335641,0.00791213650955612,9.641770552948985e-05,0.01910155146363346,3.582294470510155,1.4718045863094884,24.51,0
2010-01,86,-0.000628939590997555,-0.022158100188971023,0.021529160597973468,8.846562431536873e-05,-0.036343145054362314,3.49204620141593,1.622007595477101,21.68,0
2010-02,86,-0.00432961102659581,-0.0019500091768443284,-0.002379601849751482,0.00010472094609237529,0.031195706149957037,3.334511299345889,1.3638805161429526,24.62,0
2010-03,86,-0.008494527850281517,0.024496880169588894,-0.03299140801987041,0.0001294925932677926,0.060878762847081935,2.8805550491555523,1.4875574535290639,19.5,0
2010-04,86,0.007864782451586137,0.0037013349857333263,0.004163447465852812,0.00016213199649281934,0.015469964486541254,2.720802104308383,1.557626387218701,17.59,0
2010-05,86,0.00048385992926005747,-0.021412726380025688,0.021896586309285745,0.00016280103463689913,-0.07945363731354038,2.319379217860518,1.0592423791999634,22.05,0
