date,ticker,selling_side,prem_pct,size,capital_allocated_pct,return_pct,pnl_pu_pct,pnl_contribution_pct,in_recovery
2015-02-01,AAPL,sell_put,1.5913,1,1,9.6449,1.5913,0.015913,False
2015-02-01,ABBV,sell_put,1.4219,1,1,1.0012,1.4219,0.014219,False
2015-02-01,ABT,sell_put,1.2442,1,1,6.3914,1.2442,0.012442,False
2015-02-01,ADBE,sell_put,1.9383,1,1,12.7905,1.9383,0.019383,False
2015-02-01,ADP,sell_put,1.5211,1,1,7.6457,1.5211,0.015211,False
2015-02-01,AMGN,sell_put,1.4219,1,1,3.5859,1.4219,0.014219,False
2015-02-01,AMT,sell_put,1.5211,1,1,2.2589,1.5211,0.015211,False
2015-02-01,AMZN,sell_put,1.9357,1,1,7.2293,1.9357,0.019357,False
2015-02-01,AXP,sell_put,1.3493,1,1,1.4129,1.3493,0.013493,False
2015-02-01,BA,sell_put,1.5176,1,1,3.7697,1.5176,0.015176,False
2015-02-01,BAC,sell_put,1.6213,1,1,4.3565,1.6213,0.016213,False
2015-02-01,BDX,sell_put,1.2442,1,1,6.2573,1.2442,0.012442,False
2015-02-01,BIIB,sell_put,1.4219,1,1,5.2498,1.4219,0.014219,False
2015-02-01,BLK,sell_put,1.3775,1,1,9.0776,1.3775,0.013775,False
2015-02-01,BMY,sell_put,1.4219,1,1,1.0785,1.4219,0.014219,False
2015-02-01,BRK-B,sell_put,0.9151,1,1,2.4321,0.9151,0.009151,False
2015-02-01,C,sell_put,1.5176,1,1,11.6744,1.5176,0.015176,False
2015-02-01,CAT,sell_put,1.6445,1,1,4.5139,1.6445,0.016445,False
2015-02-01,CL,sell_put,1.062,1,1,5.4379,1.062,0.01062,False
2015-02-01,CMCSA,sell_put,1.5685,1,1,12.1616,1.5685,0.015685,False
2015-02-01,COST,sell_put,1.3044,1,1,2.7764,1.3044,0.013044,False
2015-02-01,CRM,sell_put,1.9698,1,1,22.9052,1.9698,0.019698,False
2015-02-01,CSCO,sell_put,1.5211,1,1,12.677,1.5211,0.015211,False
2015-02-01,CTSH,sell_put,1.5211,1,1,15.4443,1.5211,0.015211,False
2015-02-01,CVS,sell_put,1.5039,1,1,6.1935,1.5039,0.015039,False
2015-02-01,CVX,sell_put,1.5164,1,1,4.0476,1.5164,0.015164,False
2015-02-01,DD,sell_put,1.5211,1,1,9.0345,1.5211,0.015211,False
2015-02-01,DHR,sell_put,1.2442,1,1,5.9481,1.2442,0.012442,False
2015-02-01,DIS,sell_put,1.653,1,1,14.4239,1.653,0.01653,False
2015-02-01,ELV,sell_put,1.5039,1,1,8.5136,1.5039,0.015039,False
2015-02-01,EOG,sell_put,1.6445,1,1,0.9744,1.6445,0.016445,False
2015-02-01,F,sell_put,1.6445,1,1,12.2144,1.6445,0.016445,False
2015-02-01,FDX,sell_put,1.5211,1,1,4.6537,1.5211,0.015211,False
