,0
2006-03-20,0.0
2006-03-27,0.0
2006-04-03,0.0
2006-04-10,0.001028445877434016
2006-04-17,0.0010577471584436021
2006-04-24,0.0012185224399125292
2006-05-01,0.001099436869832933
2006-05-08,0.0011307820025070984
2006-05-15,0.001165053037669621
2006-05-22,0.001038836398492389
2006-05-29,0.001036946664373663
2006-06-05,0.0011174759034979264
2006-06-12,0.00047913922930660816
2006-06-19,0.0005451483281930835
2006-06-26,0.0010133455463455232
2006-07-03,0.0010275016501557147
2006-07-10,0.000759461228330167
2006-07-17,-0.0007481032741878066
2006-07-24,0.00031653226571186875
2006-07-31,0.0003727161473405438
2006-08-07,0.0004296106153657207
2006-08-14,0.00027008831269366006
2006-08-21,0.0005153138752354486
2006-08-28,0.00026554512520824964
2006-09-04,0.00044087641037626106
2006-09-11,0.0006555225405332288
2006-09-18,0.0005357654186081348
2006-09-25,0.00041999820137115563
2006-10-02,0.0002884145436183091
2006-10-09,0.00031099205367101593
2006-10-16,0.000571811184966225
2006-10-23,0.0004401081898222068
2006-10-30,0.000465963400320168
2006-11-06,0.0004628930932063591
2006-11-13,0.00028828915718900525
2006-11-20,8.497686052520671e-06
2006-11-27,7.097537429937213e-05
2006-12-04,-7.86787762589189e-05
2006-12-11,-0.00011783962379656996
2006-12-18,-0.00013688913373709503
2006-12-25,-0.00010226084341950531
2007-01-01,-3.935542522313321e-05
2007-01-08,-0.000124699155853064
2007-01-15,-0.00037529963354437056
2007-01-22,-0.00018496917934711474
2007-01-29,-0.00017583641292888462
2007-02-05,-0.00020278067366601062
2007-02-12,-0.00021615097736244187
2007-02-19,-0.00014602498154070898
2007-02-26,2.608059785697025e-05
2007-03-05,-6.991692604441818e-05
2007-03-12,-8.359707248888093e-05
2007-03-19,-3.233766368688183e-06
2007-03-26,9.214492442668619e-05
2007-04-02,4.341568568965045e-05
2007-04-09,3.976488440182919e-05
2007-04-16,-0.00010526290544479516
2007-04-23,-1.4769600276652584e-07
2007-04-30,1.9941902645133867e-05
2007-05-07,5.173147156524579e-05
2007-05-14,0.00010705223538164284
2007-05-21,2.1671295894956882e-05
2007-05-28,-5.9717305575918665e-06
2007-06-04,0.0004180147512482769
2007-06-11,5.448305415811628e-05
2007-06-18,0.00018460726805477525
2007-06-25,1.3517483263234984e-05
2007-07-02,0.00021952492013610297
2007-07-09,9.504080536003648e-05
2007-07-16,8.237304111006691e-05
2007-07-23,0.00021622585927000954
2007-07-30,-8.822891670925862e-05
2007-08-06,0.0002464123691323306
2007-08-13,-0.00041797576738607624
2007-08-20,0.0003579940864483637
2007-08-27,0.00026269572834209526
2007-09-03,3.705980738424853e-05
2007-09-10,0.00014450770076149407
2007-09-17,0.00010677743867133793
2007-09-24,0.0003384149066352768
2007-10-01,4.958092556653381e-05
2007-10-08,0.00035632697696655726
2007-10-15,0.00030039812295326726
2007-10-22,0.0007545051716095296
2007-10-29,0.0011824613722932519
2007-11-05,0.0015371952006340878
2007-11-12,0.001645886156307849
2007-11-19,0.0017847962290952184
2007-11-26,0.0014219042876695992
2007-12-03,0.00136860434715545
2007-12-10,0.0019287318454945504
2007-12-17,0.001748029951565199
2007-12-24,0.0012713026517359857
2007-12-31,-0.0030231463392911056
2008-01-07,-0.0025373776255389452
2008-01-14,-0.0027359565087408935
2008-01-21,-0.0041880017059056215
2008-01-28,-0.0007116123346128955
2008-02-04,-0.00022391112535196918
2008-02-11,0.0011482601128034375
2008-02-18,0.0015833547737432521
2008-02-25,4.521282444647028e-05
2008-03-03,-0.0040232813202774305
2008-03-10,-0.002863248592961078
2008-03-17,-0.001134730018832438
2008-03-24,-0.0016905627021216142
2008-03-31,0.002233489607333471
2008-04-07,0.0026633478288233103
2008-04-14,0.0016321993638614822
2008-04-21,0.0019278462349985694
2008-04-28,0.0016252573764966192
2008-05-05,0.0013892052304019524
2008-05-12,0.0014495433749958063
2008-05-19,0.0014072203267032168
2008-05-26,0.0011084743185217315
2008-06-02,0.002209574143682465
2008-06-09,0.002419504609707624
2008-06-16,0.0027903798874786157
2008-06-23,0.003111913687013525
2008-06-30,0.0019888796134804798
2008-07-07,0.002679702305551674
2008-07-14,0.003015619618386754
2008-07-21,-0.002581236315038324
2008-07-28,-0.003097960752326579
2008-08-04,-0.0007065627251718361
2008-08-11,-0.0022623550616329455
2008-08-18,0.00018251003787785524
2008-08-25,-0.0009544685847024213
2008-09-01,-0.0017895291080809125
2008-09-08,-0.0005681002047950084
2008-09-15,0.0003470556875579227
2008-09-22,0.0007797652229344361
2008-09-29,-0.0032752852772229475
2008-10-06,-0.012758407699822233
2008-10-13,-0.010043129231587039
2008-10-20,-0.011953445210098897
2008-10-27,-0.007820739043955962
2008-11-03,-0.010841912254422829
2008-11-10,-0.013869037435991646
2008-11-17,-0.015758925596405557
2008-11-24,-0.011562536876186913
2008-12-01,-0.0111824520458013
2008-12-08,-0.010735675580271636
2008-12-15,-0.010816071563699927
2008-12-22,-0.00971146852568954
2008-12-29,-0.00044924161804922006
2009-01-05,0.005182509510765435
2009-01-12,0.007264348115966001
2009-01-19,0.008810075142103541
2009-01-26,0.008135281136032374
2009-02-02,0.008305494535532372
2009-02-09,0.010139622210891087
2009-02-16,0.012446227694773996
2009-02-23,0.007777625755388474
2009-03-02,0.006783310586717443
2009-03-09,0.008228018085366957
2009-03-16,0.008627981773136086
2009-03-23,0.0071619775559467035
2009-03-30,0.0054702447104127225
2009-04-06,0.0023494892113495192
2009-04-13,0.0024853144343482112
2009-04-20,0.0026188862813481977
2009-04-27,0.001954262571988044
2009-05-04,0.0013896548430476505
2009-05-11,0.000888200771575723
2009-05-18,8.00778240656534e-05
