ym,n,spy,disp_call,disp_strad,long_strad,short_strad,capin,cash,ratio,iv_ratio
2007-01,80,0.015040638063138267,0.008913382711605435,0.005370356178723106,-0.0016450734518704167,0.007015429630593523,3.8082601106016902,0.004208388620161175,1.9993028612997088,1.9993028612997092
2007-02,80,-0.019618088447923343,-0.003431745946817777,-0.00805630983770727,-0.01019041539194424,0.0021341055542369704,3.961419590012314,0.0042096911079711275,2.221949481865285,2.221949481865285
2007-03,80,0.011588972879728487,-0.0036931853034748757,-0.013681434190140507,-0.017158149830064653,0.0034767156399241467,4.202855925582032,0.004199108148595322,3.2969021739130433,3.2969021739130437
2007-04,78,0.044296530158762115,-0.0012712696168123948,-0.006497791947659804,0.004411008052859471,-0.010908800000519275,3.8813757486918647,0.00420518981099473,1.6416947496947498,1.6416947496947494
2007-05,80,0.033918850481308827,0.0016764325335980775,-0.001687414499580089,0.002122715010206092,-0.003810129509786181,4.006810868176003,0.004199702024517299,1.7178217821782178,1.7178217821782178
2007-06,80,-0.01462022340073843,0.001787642182857846,0.003787313095007871,-0.006354204766229791,0.010141517861237662,3.929099521943079,0.00420310189591499,1.7992280033840946,1.7992280033840948
2007-07,79,-0.03131015777461721,0.003442179651303983,-0.0045664759253121285,-0.00674174733029299,0.0021752714049808617,4.1510560594303385,0.00420137870939497,1.5425531001930914,1.5425531001930917
2007-08,80,0.012832870254745332,0.007210463443536072,0.009618081945765442,-0.022590126454180685,0.03220820839994613,5.643460317263987,0.00394724857672779,1.3286700739451935,1.3286700739451938
2007-09,80,0.0387139777571861,0.008960954537498253,0.008876935929676172,0.0008284775425133895,0.008048458387162782,4.918608601301795,0.003914183945913076,1.2605468750000002,1.260546875
2007-10,80,0.013566772072665101,0.021829379414377112,0.025017463846425843,0.005839429902390352,0.01917803394403549,4.729734234239101,0.0037790538753751817,1.574926945555214,1.5749269455552137
2007-11,80,-0.038731930466605724,-0.0012244136782187769,-0.008247996066400103,-0.008679543941338196,0.000431547874938093,5.171349455142245,0.003548172007886761,1.6460305792413994,1.6460305792414
2007-12,80,-0.011260476688119692,0.009666410257304383,0.018433115793731608,-0.012843695238747968,0.031276811032479576,5.474897132671384,0.003339886967978944,1.3590346250859895,1.3590346250859895
2008-01,80,-0.060461959791497155,0.004066314387352089,-0.0020705299775828747,0.006762091421509281,-0.008832621399092156,5.587595905217198,0.0030998739344453683,1.4132593457943927,1.413259345794393
2008-02,80,-0.025842575753694863,0.011080933819078114,0.018031880970033054,-0.00835965237134935,0.026391533341382403,6.2560058588634115,0.002327975854504892,1.3292100098135426,1.3292100098135426
2008-03,80,-0.00894192481715439,0.01946941295665151,0.02158993589622812,-0.016862576713875286,0.038452512610103406,5.903429596474691,0.002046600406276675,1.294439943285396,1.2944399432853961
2008-04,79,0.04766210336410892,0.0028100957847994046,0.0010040640405915386,-0.006214652693233968,0.0072187167338255065,6.541898165160731,0.0017757039348619459,1.4579092694048652,1.4579092694048652
2008-05,82,0.01511630733824143,0.006888541029425833,0.01010431043719857,-0.014029961897394107,0.024134272334592678,5.4660752205581655,0.00155980975886079,1.4963395668171298,1.49633956681713
2008-06,82,-0.08357556616623507,-0.005846328686442529,-0.006432870737936754,0.031354729803813076,-0.03778760054174983,4.95083629332796,0.001584152728444534,1.6103232251909831,1.610323225190983
2008-07,82,-0.008985377528498484,0.03079761424809139,0.03491667838856159,-0.00015332810479924775,0.03507000649336084,6.642634240128936,0.0015637358764778399,1.5652556023552202,1.5652556023552204
2008-08,82,0.015453853244979499,0.003586673710323701,0.0007925560280605155,-0.028016977391900198,0.028809533419960714,6.692240175257709,0.0015551293304123717,1.6132996698604283,1.6132996698604285
2008-09,82,-0.09417395049091415,0.0027860560622180765,-0.017504856053627553,0.022459061077038732,-0.039963917130666285,5.827623506130093,0.0014204333454492046,1.564096445284656,1.564096445284656
2008-10,82,-0.16518725833443826,-0.009179950315300923,-0.020892125655775633,0.041132864242388746,-0.06202498989816438,9.347566439303868,0.0007327738379489604,1.2730150492994292,1.2730150492994294
2008-11,82,-0.0696065511374776,0.0017573610864681927,0.00580560594513483,-0.0371332567747138,0.04293886271984863,12.652481038220659,0.0002838794366257829,1.265042728530097,1.2650427285300971
2008-12,82,0.009796608866161627,0.015545109156201546,0.013508768537039278,-0.0626807147615524,0.07618948329859168,12.7452150384579,0.00011633971328205614,1.5132754767682588,1.5132754767682586
2009-01,82,-0.08211454549608199,-0.0038535984558029437,-0.005716140210208841,-0.005249073560102659,-0.00046706665010618235,9.536325336312725,0.0001130795933296091,1.426166152060841,1.426166152060841
2009-02,82,-0.1074485754439759,-0.005861863370089364,-0.014266349174042564,-0.0019352782609053565,-0.012331070913137208,10.454600939458823,0.0001641665649443255,1.379657933153116,1.379657933153116
