ym,n,spy,L30,L20,h30,hATM,hATMd,hVP,hFUT,repput,sstrad,vpstrad
2007-01,79,0.015040638063138267,0.006370113772294066,0.003420914460990451,0.004444876905142487,-0.0023950844465552997,-0.0014370506679331797,0.0015325185545369438,-0.0035646312209637694,-0.011665998410218856,0.006927736760211101,0.0029008386925163583
2007-02,79,-0.019618088447923343,-0.0070647147852048175,-0.004604865910345698,0.004183784115940365,0.008921447299625773,0.005352868379775464,-0.008976180105144952,0.004649486962157832,0.0007166309002331359,0.0021074292348090082,-0.018189535700873
2007-03,79,0.011588972879728487,-0.005164151399691319,-0.003936069701309834,0.004272273285124908,-4.2276456042613964e-05,-2.5365873625568377e-05,-0.0027913730814780034,-0.0027465865724956512,-0.010594697609422414,0.003433256694425095,-0.01122022513143119
2007-04,77,0.044296530158762115,0.013920553218232393,0.010007802192460691,-0.01285741084987444,-0.022549775833070523,-0.013529865499842312,0.00405438453035723,-0.010232498466674048,-0.01592430318575178,-0.010768943590256208,0.008331048914352466
2007-05,79,0.033918850481308827,0.007638913513716341,0.0041939101766904656,-0.005096509292872556,-0.014991850156598237,-0.008995110093958942,0.004670532737636396,-0.008038767564070192,-0.011222623427333513,-0.003762502890913854,0.008766371017321441
2007-06,79,-0.01462022340073843,-0.006415891415251378,-0.004378418927032554,0.005392495570984622,0.011548621964546245,0.006929173178727746,-0.0011037782446367268,0.0034649929459750076,0.0045607254915384235,0.010014748887972191,-0.003740075043810395
2007-07,78,-0.03131015777461721,-0.006175560317046984,-0.004270282977102175,0.005999223319625527,0.012879529805082172,0.007727717883049302,-0.004440285450283573,0.007326576919260426,-0.0017726448890022775,0.00214773632390516,-0.00806997112262491
2007-08,79,0.012832870254745332,-0.008392173821861281,-0.007033775915909795,0.010861426052552484,0.01358870369131421,0.008153222214788525,0.005737822445260341,-0.0030413902503746435,-0.015786547586084353,0.0318056057949468,0.005965875801590244
2007-09,79,0.0387139777571861,0.008669955550163009,0.0034976012087963764,0.0068977534269198905,-0.010597446279424397,-0.006358467767654637,0.007261218865544087,-0.009175212728453105,-0.014248845582174197,0.007947852657323248,0.013081140519083195
2007-10,79,0.013566772072665101,0.01207090769333534,0.010207431616633804,0.0070003517665512575,0.004361137983127701,0.0026166827898766202,0.0006020608607109439,-0.0032153249812216286,-0.01381349535493969,0.01893830851973505,0.0007024043374961025
2007-11,79,-0.038731930466605724,-0.00849942777424781,-0.005425710569295146,0.007371611694199356,0.01589988000332078,0.009539928001992468,-0.009040035044917322,0.009179467520585556,0.0038246061669408426,0.00042615352650136683,-0.018855451501356316
2007-12,79,-0.011260476688119692,-0.008419096597962585,-0.00645436812179634,0.009513492555074266,0.02067987835199553,0.012407927011197317,0.007325073805316461,0.0026687329750843666,0.003032742337984267,0.030885850894573585,0.013072018384829999
2008-01,79,-0.060461959791497155,-0.008897479381125529,-0.006047896636364191,0.009375526769048464,0.020369725787386862,0.012221835472432115,-0.00261805253066728,0.014329484470584825,0.014721685842394113,-0.008722213631603503,-0.006932822032429033
2008-02,79,-0.025842575753694863,-0.005651977280548095,-0.0031056873275436747,0.01062831073798349,0.023197587405877646,0.013918552443526586,0.009094767850436497,0.0061246904536256825,0.009154958513007181,0.026061639174615115,0.01827163490915176
2008-03,79,-0.00894192481715439,-0.006465561546295735,-0.0051850079793343395,0.010241582970881007,0.022321862517570828,0.013393117510542495,-0.0031653805858590464,0.00211923618166559,-0.02053937617249576,0.03797185620247712,-0.005938509398830658
2008-04,78,0.04766210336410892,0.0048009388948409785,0.002055497335456804,0.0036766214727612747,-0.015497399896149863,-0.009298439937689917,0.006935131433505785,-0.011152932187201486,-0.02117590233541214,0.007127340572637842,0.014815962607944178
2008-05,81,0.01511630733824143,-0.0037898495308664824,-0.003478396867155813,0.008861595899562886,0.006957652718894531,0.004174591631336718,0.006640682796219078,-0.0036732626831926674,-0.00909599414258836,0.023839951940268375,0.010961803150941916
2008-06,81,-0.08357556616623507,-0.010243730868575392,-0.00623066332886325,0.007215687828764025,0.015544809587769161,0.009326885752661496,0.00020576763593918595,0.02030886257839512,0.047093856144269086,-0.03732677614489923,-0.00030865145390877115
2008-07,81,-0.008985377528498484,0.004419509539607604,0.0021394236217505596,0.009766815247623925,0.021231478799179297,0.012738887279507576,-0.0002431799333826722,0.0021834467394251317,-0.020727251100930006,0.03464232348734425,-0.0010288381796959142
2008-08,81,0.015453853244979499,-0.008677590864583196,-0.006204362558275282,0.009512942650290535,0.008143320134732714,0.004885992080839627,0.0045081818419402744,-0.003755286338530018,-0.016242452972550975,0.028458197646546557,0.008670299932528283
2008-09,81,-0.09417395049091415,-0.008282230334914244,-0.005206009278086367,0.008924356868717443,0.01934215777828317,0.0116052946669699,-0.03389554148379991,0.02288426996929214,-0.0008776793707756856,-0.03947655228760939,-0.06967105091413509
2008-10,81,-0.16518725833443826,-0.020207182667315682,-0.011942004730838776,0.01651447865685894,0.03678564146130933,0.0220713848767856,-0.05675445522177093,0.040140503775268496,0.03560379696570766,-0.06126858758233312,-0.11454710169759863
2008-11,81,-0.0696065511374776,-0.026135024767362625,-0.015705267487456723,0.022457905022292193,0.05114261060524775,0.030685566363148647,-0.019108330919261375,0.016914391926407056,-0.011631553303121682,0.04241521805253341,-0.04170535857512797
2008-12,81,0.009796608866161627,-0.02036488327935386,-0.01399513737402377,0.019768796820040714,0.03663214614796386,0.021979287688778312,0.017686663616408835,-0.0023805759544772752,-0.019942839830346632,0.07526034325836496,0.029434125013663992
2009-01,81,-0.08211454549608199,-0.017208076562834473,-0.011232033466243017,0.01339887934556377,0.029508949608550966,0.01770536976513058,-0.009680431963502455,0.019953834555547924,0.012777359195719883,-0.0004613707153487899,-0.012327352007629218
2009-02,81,-0.1074485754439759,-0.02145797408138307,-0.01310553765004791,0.017331540376179923,0.03872172785400982,0.02323303671240589,0.006434915160279892,0.026110003832886145,0.037139413192284094,-0.012180691999562366,0.010279028722598262
2009-03,80,0.08331133510062783,-0.004316814425723221,-0.009044599075274707,0.010980524252795122,-0.0271675472722389,-0.016300528363343336,-0.00172743200541536,-0.019994720424150677,-0.058320096105432866,0.012036845406813457,-0.0037319921400417407
2009-04,81,0.0993449875329695,0.024123674471152025,0.012758695761315143,-0.007849404133304642,-0.04328161624287848,-0.025968969745727086,0.011953229033194335,-0.024140831970511586,-0.03864353252432011,-0.005317487412099274,0.02468276323834105
2009-05,81,0.05845348868065603,-0.0033034536217143333,-0.00496908351147899,0.008324962055409224,-0.01826861764338053,-0.010961170586028315,0.004152765016227146,-0.014204197749399414,-0.026016151929770817,0.014635497958166946,0.01213093744605092
2009-06,81,-0.0006547938579155588,-0.008707106023559143,-0.006185357426314691,0.011411994003461767,0.024954002394806326,0.014972401436883795,0.0047233025522403285,0.00015911490747348077,-0.010280095082526763,0.04720770851297877,0.007276691852758367
2009-07,81,0.07460539053645654,0.018651995718576377,0.009052602881375616,-0.019100693865890365,-0.03846934773520249,-0.02308160864112149,0.00693998117576698,-0.018129109900358938,-0.026048059716328655,-0.01753716731557109,0.012851124171838047
2009-08,81,0.03693968719573393,0.003458414320206242,0.0016793425708826143,0.009808389816817642,-0.008596137085756465,-0.005157682251453878,0.005321899311336134,-0.008976343988563344,-0.016421722485701173,0.013505177628983922,0.011420103794624636
2009-09,81,0.035458212706896974,0.0015673000677577265,-0.0007827112350751897,0.009804232915735659,-0.0074054958241594054,-0.004443297494495643,0.009250190542902346,-0.008616345687775964,-0.015335531001671756,0.01399433831351559,0.018584558755052542
2009-10,81,-0.01922594837950542,-0.00830995184236685,-0.005408230992124257,0.010082472456840482,0.021942312450605565,0.013165387470363337,0.0019922048388657243,0.004671905456219817,-0.005785856528814226,0.026852527113515722,0.002525330077435426
2009-11,81,0.061607035736827465,0.008291781618665542,0.0018016759996530702,-0.0011505293929230536,-0.02422750982623678,-0.014536505895742067,0.01207481899988567,-0.014970509684049074,-0.01827549714529523,-0.0004519948009003165,0.022250963904514337
2009-12,81,0.01910155146363346,-0.0030952116073990664,-0.0036867308566673153,0.008882519336866672,0.0037763703491313443,0.0022658222094788065,0.009820728078915535,-0.0046416770056629305,-0.007467654119831011,0.023717124886510312,0.020333583660535594
2010-01,81,-0.036343145054362314,-0.0077824643278092305,-0.005143088881557093,0.008118894733286251,0.01754636750099576,0.010527820500597454,0.0018144964260091562,0.008831384248210042,0.01029287766384442,0.0043266509487142205,0.002300856292774493
2010-02,81,0.031195706149957037,-0.005946621711077556,-0.005777400406815212,0.009108294133400597,-0.00551482893130367,-0.0033088973587822017,0.00838970770170213,-0.00758055659443956,-0.012908163096023375,0.015202230778027674,0.017742782062574066
2010-03,81,0.060878762847081935,0.016244772624545364,0.009469899022235839,-0.01830295101958681,-0.03262591324634083,-0.019575547947804497,0.010063908012298207,-0.01479353937184091,-0.014036585436699911,-0.01706239750984993,0.01900544710129178
2010-04,81,0.015469964486541254,0.004853337118869171,0.003214817694422165,0.006596159070042975,0.001648589496983442,0.000989153698190065,-0.0018051433516482827,-0.0037592013702295248,-0.009024872555651833,0.014817718197091127,-0.004620418734270738
2010-05,81,-0.07945363731354038,-0.011239108790879915,-0.0068623421018251685,0.008518006623542683,0.01843490956527859,0.011060945739167152,-0.012018700553720443,0.019307233867190313,0.025569390718150058,-0.029255358147615332,-0.025805132161645684
2010-06,81,-0.05174157832485071,-0.012708407590571087,-0.007731550746883203,0.011551639295847904,0.025272006923075976,0.015163204153845585,0.006743566614188668,0.012573203532938722,0.018050897598583047,0.00870815999790985,0.013561957823264314
2010-07,80,0.06830086899766674,0.006675529703678212,0.0001287226888705692,-0.003762965760552373,-0.027934781146498062,-0.016760868687898837,0.009015901803665202,-0.016392208559440017,-0.023256927578759364,0.0017364038876951926,0.020997074589888323
2010-08,82,-0.044981236688190984,-0.007869650192813701,-0.00520469752866866,0.009398259008665198,0.02039524466928504,0.012237146801571024,0.006154553869561411,0.01106538422529498,0.02024205579913323,0.0022110058040204113,0.010614238288889757
2010-09,82,0.08955595619489287,0.027191338407050833,0.017635643372775085,-0.026481776061550413,-0.04863776625768702,-0.02918265975461221,0.012526884260661147,-0.022030765223943642,-0.019345034413967753,-0.02746610094639576,0.021427316010488417
2010-10,82,0.03820174914393615,0.0034502083372701287,0.0008646514395300045,0.0049429078772749,-0.011924386792287136,-0.007154632075372281,0.01146640728621364,-0.009397630289408291,-0.014316605248862548,0.006482463549908837,0.021938617408882748
2010-11,83,0.0,-0.002984967709987309,-0.00299037987498014,0.00849169886783227,0.018362971721737557,0.011017783033042534,0.0033831571073973687,-0.0,-0.0025211570565419118,0.03668760738560094,0.00672797815692055
2010-12,83,0.06685145549141325,0.015342297116731433,0.008924989207584387,-0.019337789013347893,-0.03613658284587501,-0.021681949707525003,0.015075654759025671,-0.016646012417361897,-0.010987420686174854,-0.015760968085742413,0.031176799066185954
2011-01,84,0.02330052130477056,0.00015481457775487096,-0.00039216423057313515,0.007060802602042954,-0.004383045133951246,-0.0026298270803707478,0.003811897417297584,-0.005871731368802181,-0.0122584857364551,0.009681207423508033,0.006498654629998425
2011-02,84,0.03473697465828662,-0.000490729129003401,-0.0011597131350958565,2.7482950196957567e-05,-0.01340769687956159,-0.008044618127736955,0.003937990716088601,-0.00875371761388823,-0.013744614341656176,0.0019271881503302233,0.007439504628669846
2011-03,84,0.00011971912508057514,-0.005627133013121375,-0.004260721864325135,0.007201648220278027,0.015399212201704685,0.009239527321022812,0.0010863422665072012,-3.0169219520304934e-05,-0.007093692011089868,0.02953136115082067,0.000805057215358017
2011-04,84,0.0289616351081301,0.008954960545263908,0.005671613229297104,0.0032071204314395607,-0.009429365264444833,-0.0056576191586669,0.005053431436162954,-0.007298332047248786,-0.013253498627103092,0.0044408976025667336,0.009078717512953022
2011-05,84,-0.011213398776073413,-0.004231584948012154,-0.003524587147558775,0.006164164587884895,0.013220397404011727,0.007932238442407036,0.002686757212700844,0.0028257764915705003,-0.0031281000348968146,0.014810057365017844,0.003162031954297744
2011-06,84,-0.016870342424195273,-0.006553833454080209,-0.0042126214820636596,0.006164164587884895,0.013220397404011727,0.007932238442407036,-0.0015228190700145561,0.004251326290897209,-0.0014492440224736,0.01153254634799811,-0.0037827989637304257
2011-07,84,-0.02000431221206589,-0.004176645009143734,-0.002113947142086767,0.006230605291081443,0.01336588967184751,0.008019533803108507,-0.00198839432708907,0.005041086677440604,0.0059422315836739695,0.009588675127276177,-0.00431627061246164
2011-08,84,-0.05497569778050493,-0.010899311496164476,-0.006884811673201536,0.01014579643013565,0.022056627803905108,0.013233976682343065,-0.008651940193968055,0.013853875840687242,0.011649695025792581,-0.0016395532088289487,-0.016877103068951137
2011-09,84,-0.06942137992680353,-0.013872248500623338,-0.008351642557627215,0.012553052515725563,0.027517437590008267,0.01651046255400496,-0.00018429020592532439,0.01749418774155449,0.026992553306092435,-0.004132638596468371,-0.0012221350498205943
2011-10,84,0.10914780956140735,0.016099275300069167,0.002733451676755305,-0.019012635070326477,-0.054360543589441944,-0.03261632615366517,0.010747028850803371,-0.027505248009474653,-0.03383818116280246,-0.016222170447421327,0.02230881440148715
2011-11,84,-0.004063168982097021,-0.010151844258600487,-0.006873863356710765,0.011420702929051308,0.024937374707053664,0.0149624248242322,-0.004238674736282553,0.0010239185834884491,-0.011366760313661356,0.046665376644115936,-0.008273660297595006
2011-12,84,0.010448179853723483,-0.005207930815703483,-0.00405298506963453,0.010979835397404903,0.015161856724120213,0.009097114034472128,0.005305618033744981,-0.0026329413231383175,-0.01255577784214489,0.0382563293719206,0.009767380914042409
2012-01,84,0.046373855279107756,0.02422632755012839,0.015968307221530195,-0.0008139314431426459,-0.018575421452918132,-0.01114525287175088,0.012609329879101426,-0.011686211530335154,-0.012192468553222625,0.0007944491382861352,0.024209913367874737
2012-02,84,0.04340580571689112,0.005038979763902896,0.002032968057102964,-0.006732911703788082,-0.020417929402162575,-0.012250757641297546,0.008196064421415926,-0.010938263040656563,-0.011754713957445102,-0.00407429798194265,0.01669281286302581
2012-03,84,0.03216322502391944,0.007117040013151591,0.003971094952482206,-0.0022904275870143497,-0.013593022441110504,-0.008155813464666303,0.002997140717417185,-0.008105132706027699,-0.013614295773982186,0.002013448155408111,0.008176665452371158
2012-04,84,-0.006675790338032006,-0.004724445441014798,-0.0033250987733659866,0.005809309238769897,0.012444438642220869,0.007466663185332522,-0.000543171133253602,0.0016822991651840656,-0.0023853625760045156,0.019543099482599264,-0.0008244561844027916
2012-05,84,-0.06005512830051074,-0.008085160098302794,-0.004852357758618629,0.006858100697767315,0.014743216474026283,0.00884592988441577,0.0002327876285372557,0.015133892331728706,0.033237557116859315,-0.02151274544215244,-8.729536070147257e-05
2012-06,84,0.040581463410820584,0.0016067302328964673,-0.0008925038205408875,0.0038426632412033278,-0.013816506613303149,-0.00828990396798189,0.0011736376272086684,-0.010226528779526787,-0.01715663893782924,0.007114980986005211,0.003006840201939563
2012-07,85,0.011828585058570207,-0.0009211420934375042,-0.0017294352990709012,0.0071894126631390195,0.005414071112343777,0.0032484426674062664,1.962990915244511e-05,-0.0030162891899354026,-0.011172429122120818,0.019115747700751976,-0.0017274320054153608
2012-08,85,0.025053040723024278,-0.00035086935555004195,-0.00243768613829199,0.00818391556201051,-0.003628166377368091,-0.002176899826420855,0.011130158489437604,-0.006388525384371191,-0.005660606120089656,0.012183725444928184,0.020405290563968937
2012-09,85,0.025350666565260527,0.002434904988795229,0.00017319149994601046,0.00668994325677717,-0.006275997259867464,-0.0037655983559204786,0.005329520334889436,-0.006464419974141434,-0.013296298236646438,0.008878292605821824,0.010541261214864187
2012-10,85,-0.018198322776734388,-0.0012786710676504754,-0.00029393063039630544,0.00620167825368379,0.01329926345078303,0.007979558070469817,0.00099131041219859,0.004640572308067269,-0.005054805012686955,0.010040492583381007,0.0008931608664363562
2012-11,85,0.00565989541829981,-0.0021110121105025947,-0.0027421894917865684,0.007180503151645417,0.010637827397421166,0.0063826964384527006,0.0026892975538852773,-0.0014432733316664514,-0.010539740568731231,0.028000482042760788,0.007292511250134166
2012-12,85,0.008934392582039319,-0.00031160829079888595,-0.0008506087640218942,0.0068415464252287225,0.007108568260449591,0.004265140956269755,0.0011189048216894968,-0.002278270108420026,-0.00916954634463315,0.02099672898580604,0.0014231684135524287
2013-01,85,0.05119040970942468,0.020421585218524777,0.013478266685773455,-0.013014953974723397,-0.027061984383260154,-0.016237190629956093,0.01143442208130054,-0.013053554475903293,-0.015453571217872126,-0.011819359926384842,0.021661604749725567
2013-02,86,0.012759182757943188,-0.0027542445785972785,-0.0027499281253124275,0.005856663807916321,0.0015692291359366115,0.000941537481561967,-0.0013108160511681253,-0.0032918691515493427,-0.01291519889973597,0.01327719977477919,-0.0034557877712614237
2013-03,87,0.03797099470284482,0.010813853395127726,0.006798094992438607,-0.008738886090946064,-0.019824413882147163,-0.011894648329288299,0.004902396605742951,-0.009910429617442498,-0.013037181639284565,-0.007156540685749911,0.009262314898555328
2013-04,87,0.019212658808656302,0.006240178003455953,0.004677425025411842,0.003644165389559336,-0.005594207748454248,-0.003356524649072549,-0.004852167132323453,-0.005014503949059295,-0.017804702666569604,0.0052151749314216,-0.01001575699984779
2013-05,87,0.023608958764403942,0.010632682608895216,0.007544409252957993,0.0015940148199036935,-0.008474674609668144,-0.005084804765800887,0.0010749107311772454,-0.006161938237509429,-0.00599246587029196,0.0029274158565577727,0.0014867924132171222
2013-06,87,-0.013344108063055304,-0.008957521050191118,-0.005678400048593271,0.007148696850029815,0.015370218866366218,0.009222131319819731,-0.0025516572497104708,0.0034828122044574346,-0.0064468212761154674,0.017815051514283486,-0.006419326703011774
2013-07,87,0.051677071489745874,0.01959910868583209,0.011522593307829425,-0.01611426278865626,-0.029357777751983002,-0.0176146666511898,0.011110759520392834,-0.013487715658823674,-0.015751298797837508,-0.013846916360042196,0.02213110598863057
2013-08,87,-0.02999261966370581,-0.006210367287307921,-0.0042084996623153155,0.005832689312046674,0.012487047092087063,0.007492228255252239,0.0014767465185332239,0.007828073732227218,0.012953920037547443,-0.001933202392645784,0.0021397755676705894
2013-09,87,0.031646468905837555,0.003968440434359264,0.0018042295347932519,0.00356614754134527,-0.01075578382596653,-0.0064534702955799175,0.00839836795573997,-0.008259728384423601,-0.015600106445880486,0.0038409011497394234,0.01461677676507375
2013-10,87,0.046307136039476005,0.010351590743069745,0.0051025967010939165,-0.012114371404039792,-0.025037540224184703,-0.015022524134510822,0.006077766283759189,-0.012086162506303238,-0.018105279646904764,-0.01058149777405334,0.011361906887490315
2013-11,87,0.029637230895528832,0.006384573998307152,0.002988765045346746,-0.004670945829976553,-0.014261749676677371,-0.008557049806006422,0.005193727551576036,-0.007735317263733025,-0.010232343508857086,-0.0032916326818591265,0.009834930895537601
2013-12,87,0.025926216133364655,0.0033453047977768102,0.0015569839314488645,-0.0009702731766633566,-0.010782019466497048,-0.00646921167989823,0.00316445682542834,-0.006766742410808175,-0.010791658489557538,-0.00017355468029918984,0.005163589867524337
2014-01,87,-0.035248134485849736,-0.005563845417220297,-0.0040727006925935045,0.005551518338028267,0.011874247516369195,0.007124548509821518,-0.0028530340902274557,0.009199763100806781,0.01139065235395336,-0.007570365124404348,-0.006359051334908378
2014-02,87,0.04551578257312827,0.0066370929123643705,0.0024362704675950433,-0.010157916857721615,-0.023686033659324805,-0.014211620195594885,0.009181947741084131,-0.01187961925158648,-0.014460547873164744,-0.00824549353017129,0.017891738432024986
2014-03,87,0.008295312872580007,-0.0027786804736875032,-0.002575778960901759,0.005975382390807246,0.005581547628143342,0.0033489285768860057,0.0026119326178138677,-0.002165076659743382,-0.0037258256470163336,0.01589868146850812,0.002742529248704562
2014-04,86,0.006951736386045848,-0.0036804894251999086,-0.003472406261698281,0.005364522986581934,0.005491147155721677,0.0032946882934330062,0.002452814883625206,-0.001793547987599829,-0.0042868343821627995,0.01759633477976672,0.005541176943574351
2014-05,87,0.023206338386134506,0.0013038237820888316,-0.00043412415674860675,0.00150939917775387,-0.008355450458303425,-0.005013270274982055,0.003254869877583434,-0.006056854318781106,-0.01143604697671222,0.0022731061172622355,0.005304232393098931
2014-06,87,0.020644935245616614,0.0027929591347115234,0.0013681614445810331,0.00012447289150829656,-0.008055841505361558,-0.004833504903216935,0.003676797454307212,-0.0053883280991059365,-0.009273030095926935,0.0014174371815556584,0.006921621437206746
2014-07,87,-0.013437495693311208,-0.004770240628498174,-0.003248105696900645,0.004565675285229769,0.009734471948698606,0.005840683169219163,-0.0021297296729866923,0.0035071863759542255,0.00025380021474715115,0.0069846969641884004,-0.005053085026001444
2014-08,87,0.039463382824212134,0.005648092773010101,0.0021191036251268372,-0.007749655790118675,-0.019917284185668793,-0.011950370511401277,0.009533554055020613,-0.010299942917119368,-0.010052132691904461,-0.005139773105652645,0.019428760318661607
