date,monthly_return_pct,cumulative_return_pct,capital_deployed,num_stocks,num_stocks_trading,uniform_size,portfolio_cumulated_loss_pct
2015-02-01,1.0174,1.0174,0.9,143,90,1,0.0
2015-03-01,-0.4784,0.539,0.9,143,90,1,0.0
2015-04-01,-0.0952,0.4438,1.8,143,90,2,0.4784
2015-05-01,1.5191,1.9629,1.8,143,90,2,0.5736
2015-06-01,-0.2707,1.6922,0.9,143,90,1,0.0
2015-07-01,0.0868,1.779,1.8,143,90,2,0.2707
2015-08-01,-4.324,-2.545,1.32,143,66,2,0.1839
2015-09-01,0.7202,-1.8248,3.5,143,25,14,4.5079
2015-10-01,7.7978,5.9729,4.96,143,31,16,3.7877
2015-11-01,0.3843,6.3572,0.56,143,56,1,0.0
2015-12-01,0.2182,6.5754,0.51,143,51,1,0.0
2016-01-01,-1.1927,5.3827,0.53,143,53,1,0.0
2016-02-01,0.2248,5.6076,1.48,143,37,4,1.1927
2016-03-01,2.9155,8.523,2.08,143,52,4,0.9679
2016-04-01,0.1475,8.6705,0.7,143,70,1,0.0
2016-05-01,0.2521,8.9226,0.55,143,55,1,0.0
2016-06-01,0.3029,9.2254,0.59,143,59,1,0.0
2016-07-01,0.4033,9.6288,0.56,143,56,1,0.0
2016-08-01,-0.3373,9.2915,0.8,143,80,1,0.0
2016-09-01,-0.1711,9.1204,1.66,143,83,2,0.3373
2016-10-01,-1.2372,7.8832,1.38,143,69,2,0.5084
2016-11-01,-4.4553,3.4279,3.6,143,60,6,1.7456
2016-12-01,6.5646,9.9926,8.54,143,61,14,6.2009
2017-01-01,0.2595,10.2521,0.61,143,61,1,0.0
2017-02-01,0.5913,10.8434,0.58,143,58,1,0.0
2017-03-01,0.1945,11.0379,0.77,143,77,1,0.0
2017-04-01,0.2876,11.3255,0.79,143,79,1,0.0
2017-05-01,0.0576,11.3831,0.84,143,84,1,0.0
2017-06-01,-0.3278,11.0553,0.78,143,78,1,0.0
2017-07-01,0.592,11.6473,1.54,143,77,2,0.3278
2017-08-01,0.0669,11.7142,0.75,143,75,1,0.0
2017-09-01,-0.1796,11.5346,0.62,143,62,1,0.0
2017-10-01,0.0312,11.5658,1.56,143,78,2,0.1796
2017-11-01,1.2292,12.795,1.42,143,71,2,0.1484
2017-12-01,-0.0463,12.7487,0.79,143,79,1,0.0
2018-01-01,1.8786,14.6273,1.72,143,86,2,0.0463
2018-02-01,-1.6514,12.9759,0.84,143,84,1,0.0
2018-03-01,-1.4457,11.5302,1.52,143,76,2,1.6514
2018-04-01,-1.3486,10.1815,3.96,143,66,6,3.0972
2018-05-01,3.6859,13.8674,5.04,143,63,8,4.4458
2018-06-01,0.0062,13.8736,1.02,143,51,2,0.7599
2018-07-01,1.1918,15.0654,1.92,143,48,4,0.7537
2018-08-01,0.3427,15.4081,0.46,143,46,1,0.0
2018-09-01,0.2581,15.6662,0.65,143,65,1,0.0
2018-10-01,-3.4495,12.2168,0.77,143,77,1,0.0
2018-11-01,3.4566,15.6734,3.66,143,61,6,3.4495
2018-12-01,-3.3815,12.2919,0.64,143,64,1,0.0
2019-01-01,2.9606,15.2525,4.44,143,37,12,3.3815
2019-02-01,0.8513,16.1038,0.94,143,47,2,0.4209
2019-03-01,0.2496,16.3534,0.53,143,53,1,0.0
2019-04-01,0.2462,16.5996,0.49,143,49,1,0.0
2019-05-01,-3.2608,13.3387,0.77,143,77,1,0.0
2019-06-01,7.0921,20.4309,4.24,143,53,8,3.2608
2019-07-01,0.5759,21.0067,0.88,143,88,1,0.0
2019-08-01,-0.515,20.4917,0.78,143,78,1,0.0
2019-09-01,0.4802,20.972,1.32,143,66,2,0.515
2019-10-01,0.3343,21.3063,1.36,143,68,2,0.0347
2019-11-01,0.3773,21.6835,0.62,143,62,1,0.0
2019-12-01,0.9197,22.6032,0.88,143,88,1,0.0
2020-01-01,-0.4579,22.1454,0.8,143,80,1,0.0
2020-02-01,-4.5454,17.6,1.56,143,78,2,0.4579
2020-03-01,-7.1642,10.4357,1.92,143,48,4,5.0033
2020-04-01,24.5957,35.0314,6.16,143,22,28,12.1675
2020-05-01,1.1725,36.2039,0.4,143,40,1,0.0
2020-06-01,0.8933,37.0972,0.49,143,49,1,0.0
2020-07-01,0.6352,37.7324,0.37,143,37,1,0.0
2020-08-01,1.1323,38.8647,0.5,143,50,1,0.0
2020-09-01,0.6891,39.5538,0.75,143,75,1,0.0
2020-10-01,-0.2099,39.3439,0.92,143,92,1,0.0
2020-11-01,5.9577,45.3016,1.44,143,72,2,0.2099
2020-12-01,2.1365,47.4381,0.81,143,81,1,0.0
2021-01-01,-0.0833,47.3548,0.87,143,87,1,0.0
2021-02-01,2.7831,50.1379,1.72,143,86,2,0.0833
2021-03-01,1.4938,51.6317,0.66,143,66,1,0.0
2021-04-01,2.0372,53.6689,0.8,143,80,1,0.0
2021-05-01,1.4707,55.1396,0.93,143,93,1,0.0
2021-06-01,1.1014,56.241,0.86,143,86,1,0.0
2021-07-01,1.3853,57.6263,0.83,143,83,1,0.0
2021-08-01,1.2402,58.8665,0.88,143,88,1,0.0
2021-09-01,-2.588,56.2785,0.88,143,88,1,0.0
2021-10-01,5.4809,61.7594,2.72,143,68,4,2.588
2021-11-01,-0.6685,61.0909,0.65,143,65,1,0.0
2021-12-01,1.7364,62.8273,1.14,143,57,2,0.6685
2022-01-01,-2.5719,60.2554,0.74,143,74,1,0.0
2022-02-01,-0.9852,59.2703,2.24,143,56,4,2.5719
2022-03-01,2.1207,61.391,2.34,143,39,6,3.5571
