date,monthly_return_pct,cumulative_return_pct,capital_deployed,num_stocks,num_stocks_trading,uniform_size,portfolio_cumulated_loss_pct
2022-04-01,-4.033,57.358,1.12,143,56,2,1.4363
2022-05-01,5.7088,63.0668,3.5,143,35,10,5.4693
2022-06-01,-0.7428,62.3241,0.34,143,34,1,0.0
2022-07-01,1.1955,63.5196,0.8,143,20,4,0.7428
2022-08-01,-0.2591,63.2604,0.26,143,26,1,0.0
2022-09-01,-1.691,61.5694,0.42,143,21,2,0.2591
2022-10-01,3.9877,65.5571,1.28,143,8,16,1.9501
2022-11-01,0.8786,66.4357,0.36,143,36,1,0.0
2022-12-01,-1.1992,65.2364,0.59,143,59,1,0.0
2023-01-01,1.3457,66.5821,1.36,143,68,2,1.1992
2023-02-01,-0.9755,65.6067,0.62,143,62,1,0.0
2023-03-01,2.0859,67.6926,1.22,143,61,2,0.9755
2023-04-01,1.0498,68.7424,0.83,143,83,1,0.0
2023-05-01,-1.4526,67.2897,0.74,143,74,1,0.0
2023-06-01,3.7227,71.0124,1.64,143,41,4,1.4526
2023-07-01,1.2195,72.2319,0.6,143,60,1,0.0
2023-08-01,0.1998,72.4317,0.64,143,64,1,0.0
2023-09-01,-1.8841,70.5476,0.67,143,67,1,0.0
2023-10-01,-1.6606,68.887,2.2,143,55,4,1.8841
2023-11-01,6.5937,75.4807,3.36,143,42,8,3.5447
2023-12-01,1.309,76.7897,0.77,143,77,1,0.0
2024-01-01,1.1521,77.9417,0.76,143,76,1,0.0
2024-02-01,1.2392,79.1809,0.73,143,73,1,0.0
2024-03-01,1.1343,80.3152,0.81,143,81,1,0.0
2024-04-01,-1.6486,78.6666,0.88,143,88,1,0.0
2024-05-01,2.78,81.4465,1.68,143,84,2,1.6486
2024-06-01,1.2274,82.674,0.75,143,75,1,0.0
2024-07-01,0.1153,82.7893,0.72,143,72,1,0.0
2024-08-01,1.2078,83.9971,0.71,143,71,1,0.0
2024-09-01,1.2378,85.2348,0.74,143,74,1,0.0
2024-10-01,0.0752,85.3101,0.74,143,74,1,0.0
2024-11-01,1.3746,86.6847,0.75,143,75,1,0.0
2024-12-01,-2.5375,84.1472,0.76,143,76,1,0.0
