ym,n,vix,long,short,disp,cash,spy,capin
2007-01,84,11.56,0.01709601207247817,-0.0014215318651582608,0.01567448020731991,0.004315669444083733,0.015040638063138267,1.3561269923718162
2007-02,84,10.42,-0.004265908570501394,0.010106862872325912,0.005840954301824518,0.0043297518486517415,-0.019618088447923343,1.22239128551162
2007-03,84,15.42,0.0003337347201535065,0.00522186791454684,0.005555602634700347,0.004304040963487829,0.011588972879728487,1.8089514033194993
2007-04,84,14.64,0.025193881465298582,-0.023009039992587493,0.002184841472711089,0.00429986164890881,0.044296530158762115,1.7174480249414699
2007-05,84,14.219999999999999,0.02081588474979869,-0.01469916741346693,0.006116717336331762,0.004302017257341754,0.033918850481308827,1.6681769750456081
2007-06,84,13.05,-0.005046041618794155,0.012657827301713356,0.007611785682919201,0.004308022166547812,-0.01462022340073843,1.5309219074785643
2007-07,84,16.23,-0.00802742393774749,0.015742263379832012,0.007714839442084523,0.004299875800091275,-0.03131015777461721,1.9039741424043757
2007-08,84,23.52,-0.0021338902343986566,0.012033576582665116,0.00989968634826646,0.004067907687110628,0.012832870254745332,2.7591787941682626
2007-09,84,23.38,0.018043887152584606,-0.009842346502698532,0.008201540649886074,0.0040037565812692,0.0387139777571861,2.7427551108696426
2007-10,84,18.0,0.02270322102730499,0.006062983599255595,0.028766204626560585,0.003882905881843701,0.013566772072665101,2.111616424108365
2007-11,84,18.53,-0.011564509899284927,0.017973144819980726,0.006408634920695799,0.0036603306236107,-0.038731930466605724,2.173791796596
2007-12,84,22.87,-0.01016197413245452,0.022182721102696125,0.012020746970241605,0.003438536615413852,-0.011260476688119692,2.6829259788532394
2008-01,84,22.5,-0.014604868072675983,0.021823840175367853,0.0072189721026918695,0.003196669075927219,-0.060461959791497155,2.639520530135456
2008-02,84,26.200000000000003,-0.0113247392725489,0.025412649448650567,0.014087910176101667,0.0024070062204033867,-0.025842575753694863,3.073575017313286
2008-03,84,26.539999999999996,-0.004149235565867026,0.025742431922411678,0.02159319635654465,0.002107282220959198,-0.00894192481715439,3.1134611053242223
2008-04,84,25.61,0.02333193461116234,-0.015195786964021683,0.008136147647140659,0.0018429171424551728,0.04766210336410892,3.004360923411957
2008-05,84,20.79,0.004268512063448388,0.007467530157917096,0.011736042221365484,0.0016097578699975545,0.01511630733824143,2.4389169698451614
