date,monthly_return_pct,cumulative_return_pct,capital_deployed,num_stocks,num_stocks_trading,uniform_size,portfolio_cumulated_loss_pct
2015-02-01,4.2972,4.2972,0.9,143,90,1,0.0
2015-03-01,-0.7093,3.5879,0.82,143,82,1,0.0
2015-04-01,0.1632,3.7512,1.12,143,28,4,0.7093
2015-05-01,0.7821,4.5333,0.96,143,48,2,0.546
2015-06-01,-0.4095,4.1238,0.64,143,64,1,0.0
2015-07-01,1.9254,6.0492,0.64,143,32,2,0.4095
2015-08-01,-1.8767,4.1725,0.62,143,62,1,0.0
2015-09-01,-3.9281,0.2444,1.28,143,4,32,1.8767
2015-10-01,51.7334,51.9778,7.26,143,33,22,5.8048
2015-11-01,-0.1129,51.8649,0.83,143,83,1,0.0
2015-12-01,-1.1804,50.6846,0.98,143,49,2,0.1129
2016-01-01,-0.3858,50.2987,1.6,143,40,4,1.2932
2016-02-01,-2.2455,48.0533,1.76,143,22,8,1.6791
2016-03-01,29.9909,78.0442,5.46,143,39,14,3.9245
2016-04-01,0.9878,79.032,0.89,143,89,1,0.0
2016-05-01,0.2457,79.2776,0.6,143,60,1,0.0
2016-06-01,0.5069,79.7846,0.58,143,58,1,0.0
2016-07-01,0.4749,80.2595,0.46,143,46,1,0.0
2016-08-01,0.9794,81.2388,0.7,143,70,1,0.0
2016-09-01,0.1739,81.4128,0.46,143,46,1,0.0
2016-10-01,-0.133,81.2798,0.45,143,45,1,0.0
2016-11-01,4.5041,85.7839,0.8,143,40,2,0.133
2016-12-01,0.6635,86.4473,0.55,143,55,1,0.0
2017-01-01,1.2977,87.7451,0.69,143,69,1,0.0
2017-02-01,1.8273,89.5724,0.69,143,69,1,0.0
2017-03-01,0.1484,89.7208,0.78,143,78,1,0.0
2017-04-01,0.8229,90.5437,0.54,143,54,1,0.0
2017-05-01,1.3549,91.8986,0.59,143,59,1,0.0
2017-06-01,0.2376,92.1362,0.6,143,60,1,0.0
2017-07-01,0.7541,92.8903,0.47,143,47,1,0.0
2017-08-01,0.6468,93.5371,0.68,143,68,1,0.0
2017-09-01,1.0831,94.6202,0.5,143,50,1,0.0
2017-10-01,1.8417,96.4619,0.64,143,64,1,0.0
2017-11-01,1.4385,97.9004,0.68,143,68,1,0.0
2017-12-01,0.9122,98.8126,0.74,143,74,1,0.0
2018-01-01,2.5074,101.32,0.52,143,52,1,0.0
2018-02-01,-0.952,100.368,0.81,143,81,1,0.0
2018-03-01,-1.0886,99.2794,0.8,143,20,4,0.952
2018-04-01,3.1481,102.4274,2.6,143,26,10,2.0406
2018-05-01,0.6511,103.0785,0.53,143,53,1,0.0
2018-06-01,-0.026,103.0525,0.54,143,54,1,0.0
2018-07-01,3.2576,106.3101,1.12,143,56,2,0.026
2018-08-01,1.7153,108.0253,0.8,143,80,1,0.0
2018-09-01,0.6242,108.6496,0.65,143,65,1,0.0
2018-10-01,-0.9554,107.6941,0.62,143,62,1,0.0
2018-11-01,4.6673,112.3614,1.38,143,23,6,0.9554
2018-12-01,-2.0928,110.2687,0.77,143,77,1,0.0
2019-01-01,32.7158,142.9845,1.8,143,2,90,2.0928
2019-02-01,2.4593,145.4438,0.88,143,88,1,0.0
2019-03-01,1.3492,146.793,0.78,143,78,1,0.0
2019-04-01,1.9152,148.7083,0.68,143,68,1,0.0
2019-05-01,-1.3619,147.3464,0.71,143,71,1,0.0
2019-06-01,5.447,152.7934,2.04,143,17,12,1.3619
2019-07-01,0.6875,153.4809,0.9,143,90,1,0.0
2019-08-01,0.2036,153.6846,0.65,143,65,1,0.0
2019-09-01,-0.012,153.6725,0.47,143,47,1,0.0
2019-10-01,2.424,156.0966,1.16,143,58,2,0.012
2019-11-01,2.089,158.1855,0.72,143,72,1,0.0
2019-12-01,1.2769,159.4625,0.77,143,77,1,0.0
2020-01-01,0.45,159.9124,0.76,143,76,1,0.0
2020-02-01,-1.7367,158.1758,0.47,143,47,1,0.0
2020-03-01,-3.0088,155.167,0.64,143,8,8,1.7367
2020-04-01,18.9138,174.0808,2.64,143,12,22,4.7455
2020-05-01,2.5063,176.5871,0.94,143,94,1,0.0
2020-06-01,-0.7364,175.8507,0.74,143,74,1,0.0
2020-07-01,1.6882,177.5388,0.86,143,43,2,0.7364
2020-08-01,3.32,180.8588,0.74,143,74,1,0.0
2020-09-01,-2.1943,178.6645,0.78,143,78,1,0.0
2020-10-01,-1.9934,176.671,1.28,143,32,4,2.1943
2020-11-01,16.2016,192.8727,2.3,143,23,10,4.1877
2020-12-01,1.1957,194.0684,0.92,143,92,1,0.0
2021-01-01,-1.2504,192.818,0.73,143,73,1,0.0
2021-02-01,1.622,194.4401,0.68,143,34,2,1.2504
2021-03-01,1.1828,195.6229,0.56,143,56,1,0.0
2021-04-01,1.8005,197.4234,0.81,143,81,1,0.0
2021-05-01,-0.3381,197.0853,0.75,143,75,1,0.0
2021-06-01,0.1747,197.26,1.14,143,57,2,0.3381
2021-07-01,1.375,198.635,1.08,143,54,2,0.1634
2021-08-01,0.6443,199.2793,0.6,143,60,1,0.0
2021-09-01,-1.3221,197.9572,0.64,143,64,1,0.0
2021-10-01,5.7971,203.7543,0.96,143,16,6,1.3221
2021-11-01,0.0346,203.7889,0.74,143,74,1,0.0
2021-12-01,1.2078,204.9967,0.34,143,34,1,0.0
2022-01-01,-2.1836,202.8131,0.81,143,81,1,0.0
2022-02-01,-1.3555,201.4577,1.8,143,30,6,2.1836
2022-03-01,4.6008,206.0584,2.4,143,30,8,3.5391
2022-04-01,-1.5982,204.4603,0.58,143,58,1,0.0
2022-05-01,-0.9041,203.5562,1.26,143,21,6,1.5982
2022-06-01,-8.3807,195.1755,2.28,143,57,4,2.5023
2022-07-01,8.4189,203.5944,5.76,143,16,36,10.883
2022-08-01,-4.4068,199.1876,1.6,143,80,2,2.4641
2022-09-01,-13.4674,185.7202,4.62,143,21,22,6.8709
2022-10-01,124.0678,309.788,13.86,143,11,126,20.3383
2022-11-01,4.0965,313.8844,0.84,143,84,1,0.0
2022-12-01,-1.9495,311.9349,0.85,143,85,1,0.0
2023-01-01,0.3863,312.3212,1.38,143,23,6,1.9495
2023-02-01,-2.5157,309.8055,1.34,143,67,2,1.5632
2023-03-01,7.8298,317.6353,2.4,143,20,12,4.0789
2023-04-01,0.2842,317.9195,0.75,143,75,1,0.0
2023-05-01,-0.5173,317.4022,0.61,143,61,1,0.0
2023-06-01,2.2057,319.6079,0.56,143,28,2,0.5173
2023-07-01,1.5182,321.1261,0.88,143,88,1,0.0
2023-08-01,-0.8066,320.3195,0.7,143,70,1,0.0
2023-09-01,-1.3321,318.9873,0.76,143,38,2,0.8066
2023-10-01,-0.4889,318.4985,1.92,143,16,12,2.1387
2023-11-01,15.2216,333.7201,2.8,143,35,8,2.6276
2023-12-01,3.1488,336.8689,0.82,143,82,1,0.0
2024-01-01,0.7952,337.6641,0.81,143,81,1,0.0
2024-02-01,2.6678,340.3319,0.65,143,65,1,0.0
2024-03-01,0.8934,341.2253,0.7,143,70,1,0.0
2024-04-01,-1.265,339.9603,0.69,143,69,1,0.0
2024-05-01,2.4019,342.3622,1.16,143,29,4,1.265
2024-06-01,0.6832,343.0454,0.72,143,72,1,0.0
2024-07-01,0.1697,343.2152,0.58,143,58,1,0.0
2024-08-01,0.991,344.2062,0.6,143,60,1,0.0
2024-09-01,0.2897,344.4959,0.76,143,76,1,0.0
2024-10-01,-0.9249,343.571,0.64,143,64,1,0.0
2024-11-01,9.065,352.636,1.48,143,37,4,0.9249
2024-12-01,-1.3575,351.2786,0.7,143,70,1,0.0
