ym,n,long,short,disp,cash,spy,capin,ratio,vix
2007-01,83,-0.0017008184204637229,-0.0014046088667635196,-0.0031054272872272424,0.004239277175264066,0.015040638063138267,3.102235993964192,2.8000741852956383,11.56
2007-02,83,-0.019425581292657163,0.009986543076226794,-0.009439038216430369,0.004263301949886292,-0.019618088447923343,2.7383585577271976,2.742048511507376,10.42
2007-03,83,-0.01710587197223807,0.005159702820326044,-0.011946169151912026,0.0042275973541528455,0.011588972879728487,3.5529120725586574,2.4041005361900663,15.42
2007-04,83,0.008404217015854231,-0.022735122849818594,-0.014330905833964363,0.0042287107421787856,0.044296530158762115,3.343754464484879,2.38311961803076,14.64
2007-05,83,0.005389828566700451,-0.014524177325211371,-0.009134348758510921,0.004249363840437175,0.033918850481308827,2.8716836471502782,2.1071213038351626,14.219999999999999
2007-06,83,-0.022180121509981273,0.012507138881454863,-0.00967298262852641,0.004237878982453262,-0.01462022340073843,3.134194686782591,2.505924589539709,13.05
2007-07,84,-0.026110752037412133,0.015742263379832012,-0.010368488657580121,0.0042206105452544124,-0.03131015777461721,3.7123069523708407,2.358178657540956,16.23
2007-08,84,-0.017172615101613088,0.012033576582665116,-0.005139038518947972,0.004004995688082781,0.012832870254745332,4.263051280889707,1.8686784838062223,23.52
2007-09,84,0.003795536524945048,-0.009842346502698532,-0.006046809977753484,0.003945100871185417,0.0387139777571861,4.167590173633598,1.8377729046646993,23.38
2007-10,84,0.012669818727251403,0.006062983599255595,0.018732802326507,0.003843106719386822,0.013566772072665101,3.114956654113725,1.7841478797287453,18.0
2007-11,84,-0.02449241882181444,0.017973144819980726,-0.006519274001833716,0.003611958697725569,-0.038731930466605724,3.466582688848952,1.9287568889976092,18.53
2007-12,84,-0.021676091228991935,0.022182721102696125,0.0005066298737041904,0.003397853401672753,-0.011260476688119692,3.834337688506981,1.7285244992062534,22.87
2008-01,84,-0.025979315830544244,0.021823840175367853,-0.004155475655176391,0.0031593229724555514,-0.060461959791497155,3.776965305922282,1.7306602667413544,22.5
2008-02,84,-0.0207832117768393,0.025412649448650567,0.0046294376718112665,0.0023835176803510658,-0.025842575753694863,4.019422267742326,1.581662028535856,26.200000000000003
2008-03,84,-0.01504316333501873,0.025742431922411678,0.010699268587392948,0.002083587928061293,-0.00894192481715439,4.202853882239393,1.6326561122534569,26.539999999999996
2008-04,84,0.011272917131506553,-0.015195786964021683,-0.0039228698325151305,0.0018200050092438266,0.04766210336410892,4.210262671377536,1.6949268468503187,25.61
2008-05,84,-0.00580631904308589,0.007467530157917096,0.0016612111148312063,0.001593134398671773,0.01511630733824143,3.4464000804985893,1.709080614143998,20.79
2008-06,84,-0.028027666649517183,0.01729418090341372,-0.010733485746103461,0.0016150430806287919,-0.08357556616623507,3.0974151622724984,1.7910158217791599,17.83
2008-07,84,0.007474579370439445,0.02323026543111378,0.030704844801553225,0.0016135185348861642,-0.008985377528498484,3.670535230676739,1.5800659882949752,23.95
2008-08,84,-0.00950883994838467,0.009269380768570047,-0.00023945917981462242,0.0016036801576593395,0.015453853244979499,3.779190540439638,1.698465465688218,22.94
2008-09,84,-0.019605162871838624,0.020029435538726496,0.00042427266688787116,0.0014567634252718317,-0.09417395049091415,3.4189994294918296,1.7069874100452134,20.65
